,Takeoff,Accel,Climb1,Cruise1,Patrol1,Service1,Patrol2,Service2,Patrol3,Service3,Climb2,Cruise2,Loiter,Landing
Alt,0,500,30000,30000,25000,25000,25000,25000,25000,25000,30000,30000,10000,0
Mach,0.2858,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.4,
Dist,,,,4000,,,,0,,,,4000,0,
Time,,,,,5,,,30,,,,,5,
Payload,0,0,0,0,0,0,0,45000,0,0,0,0,0,0
ExpPayload,45000,,,,,,,,,,,,,
PermPayload,0,,,,,,,,,,,,,
