,TO,Accel,Climb1,Cruise1,Patrol1,Service1,Patrol2,Service2,Patrol3,Service3,Climb2,Cruise2,Loiter,Landing
Alt,0,500,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,10000,0
Mach,0.2858,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.4,
Dist,,,,2000,,,,,,,,,0,
Time,,,,,,,,,,,,,5,
Payload,0,0,0,0,0,0,0,0,0,0,0,0,0,0
